,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Cluster,Standard Description,Unit,Course
16,2019,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA251317,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.1,SR,OA,5.OA.A.1,Evaluate a numerical expression that contains parentheses.,1,59,41,18,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Topic 13: Write and Interpret Numerical Expressions,Math
17,2019,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA301589,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.4,SR,NF,5.NF.B.4,Determine the area of a rectangle with fractional side lengths.,1,47,41,6,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
18,2019,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA311285,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.1,SR,NT,5.NBT.A.1,Compare the value of a digit in one number to the value of the same digit in another number.,1,54,47,7,Number and Operations in Base Ten,Understand the place value system.,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",Topic 1: Understanding Place Value,Math
19,2019,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA306441,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.6,SR,NT,5.NBT.B.6,Determine the equation that can be used to solve a problem by dividing whole numbers.,1,81,78,3,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",Topic 5: Use Models and Strategies to Divide Whole Numbers,Math
20,2019,21,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.6,SR,NT,5.NBT.B.6,Solve a word problem by finding the quotient of a four-digit dividend and a two-digit divisor.,1,86,82,4,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",Topic 5: Use Models and Strategies to Divide Whole Numbers,Math
21,2019,22,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.7,SR,NT,5.NBT.B.7,Determine the product of a whole number and a decimal to hundredths.,1,88,87,1,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Topic 4: Use Models and Strategies to Multiply Decimals,Math
22,2019,23,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.B.2,SR,MD,5.MD.B.2,Use information from a given line plot to solve problems that involve adding and dividing fractions.,1,44,36,8,Measurement and Data,Represent and interpret data.,"Make a line plot to display a data set of measurements in fractions of a unit (1/2 , 1/4 , 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally.",Topic 10: Represent and Interpret Data,STEM
23,2019,24,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.1,CR,OA,5.OA.A.1,Identify and correct an error in the computation of a numerical expression and place parentheses to make the numerical expression equivalent to a different given value.,4,63,53,10,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Topic 13: Write and Interpret Numerical Expressions,Math
24,2019,25,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.5,SR,MD,5.MD.C.5,Determine the total volume of two non-overlapping right rectangular prisms.,1,45,49,-4,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Topic 11: Understand Volume Concepts,STEM
25,2019,26,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SR,NT,5.NBT.A.3,Compare values from a table that include mixed numbers and decimals.,1,34,40,-6,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
26,2019,27,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.A.1,SR,MD,5.MD.A.1,Solve a multi-step real-world problem converting yards to inches.,1,74,56,18,Measurement and Data,Convert like measurement units within a given measurement system.,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",Topic 12: Convert Measurements,STEM
27,2019,28,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.3,SA,NF,5.NF.B.3,Solve a problem involving division of two whole numbers that results in a fraction as an answer.,1,28,45,-17,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?",Topic 9: Apply Understanding of Division to Divide Fractions,Math
28,2019,29,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SA,NT,5.NBT.A.3,Determine a missing value in the expanded form of a given decimal to thousandths.,1,58,43,15,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
29,2019,30,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.3,SR,GE,5.G.B.3,"Select statements that correctly compare categories of two-dimensional figures, and then determine whether given shapes belong to specific subcategories.",2,47,44,3,Geometry,Classify two-dimensional figures into categories based on their properties.,"Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.",Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
30,2019,31,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.5,SR,MD,5.MD.C.5,Determine the volume of a right rectangular prism.,1,87,80,7,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Topic 11: Understand Volume Concepts,STEM
31,2019,32,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.1,SR,GE,5.G.A.1,Describe the relationships between the coordinates of a given point graphed on a coordinate plane and the origin and the x- and y-axes.,1,83,77,6,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the zero on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).",Topic 14: Graph Points on the Coordinate Plane,STEM
32,2019,33,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.2,SR,NF,5.NF.A.2,"To solve a word problem, estimate the difference of two fractions that are less than one.",1,34,40,-6,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers.",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
33,2019,34,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.3,SR,NF,5.NF.B.3,Choose the numbers and operation needed to write an expression that represents a fractional relationship in a word problem.,1,26,28,-2,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?",Topic 9: Apply Understanding of Division to Divide Fractions,Math
34,2019,35,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.5,SA,NT,5.NBT.B.5,Multiply a three-digit whole number by a two-digit whole number.,1,62,58,4,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,Fluently multiply multi-digit whole numbers using the standard algorithm.,Topic 3: Fluently Multiply Multi Digit Whole Numbers,Math
35,2019,36,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.1,CR,NF,5.NF.A.1,Use a fraction model to solve real-world problems involving addition and subtraction of fractions.,4,67,55,12,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.)",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
36,2019,37,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.4,SR,NT,5.NBT.A.4,Round a given decimal number in thousandths to the nearest tenth.,1,66,71,-5,Number and Operations in Base Ten,Understand the place value system.,Use place value understanding to round decimals to any place.,Topic 1: Understanding Place Value,Math
37,2019,38,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.2,SR,NT,5.NBT.A.2,Identify which whole number is equivalent to a given power of ten.,1,92,81,11,Number and Operations in Base Ten,Understand the place value system.,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Topic 6: Use Models and Strategies to Divide Decimals,Math
38,2019,39,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.7,SA,NT,5.NBT.B.7,Solve a word problem by dividing a decimal by a whole number.,1,59,56,3,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Topic 4: Use Models and Strategies to Multiply Decimals,Math
39,2019,40,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.B.3,SA,OA,5.OA.B.3,Create ordered pairs using corresponding terms from two given patterns and plot the points on a coordinate plane.,1,57,59,-2,Operations and Algebraic Thinking,Analyze patterns and relationships.,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule Add 3 and the starting number 0, and given the rule Add 6 and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
40,2021,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA273791,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.7,SR,NT,5.NBT.B.7,Solve a real-world problem involving addition and multiplication of money.,1,80,71,9,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Topic 4: Use Models and Strategies to Multiply Decimals,Math
41,2021,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA306456,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.4,SA,MD,5.MD.C.4,Solve a real-world volume problem by counting unit cubes.,1,73,75,-2,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Topic 11: Understand Volume Concepts,STEM
42,2021,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA800652607,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.1,SR,NT,5.NBT.A.1,Demonstrate understanding of place value by selecting multi-digit decimal numbers that have a digit that is one-tenth the value of the same digit in a given number.,1,38,43,-5,Number and Operations in Base Ten,Understand the place value system.,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",Topic 1: Understanding Place Value,Math
43,2021,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA704359650,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.B.3,CR,OA,5.OA.B.3,"Given the rules for two patterns, determine the first several terms of each pattern and create and graph ordered pairs using corresponding terms of the two patterns.",4,58,45,13,Operations and Algebraic Thinking,Analyze patterns and relationships.,"Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule Add 3 and the starting number 0, and given the rule Add 6 and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
44,2021,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA306435,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.A.1,SR,MD,5.MD.A.1,Solve a real-world word problem by converting milliliters to liters.,1,69,47,22,Measurement and Data,Convert like measurement units within a given measurement system.,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",Topic 12: Convert Measurements,STEM
45,2021,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA802285965,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.B.2,SA,MD,5.MD.B.2,Complete a line plot to display a set of data measurements given as mixed numbers with unlike denominators.,1,22,25,-3,Measurement and Data,Represent and interpret data.,"Make a line plot to display a data set of measurements in fractions of a unit (1/2 , 1/4 , 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally.",Topic 10: Represent and Interpret Data,STEM
46,2021,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA303315,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.4,SR,NT,5.NBT.A.4,Round a decimal number to the nearest whole number.,1,62,65,-3,Number and Operations in Base Ten,Understand the place value system.,Use place value understanding to round decimals to any place.,Topic 1: Understanding Place Value,Math
47,2021,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA261200,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.4,SR,GE,5.G.B.4,Identify which statement is true about the properties of special quadrilaterals.,1,56,49,7,Geometry,Classify two-dimensional figures into categories based on their properties.,Classify two-dimensional figures in a hierarchy based on properties.,Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
48,2021,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA280476,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.5,SR,NT,5.NBT.B.5,Multiply a three-digit whole number by a two-digit whole number.,1,82,70,12,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,Fluently multiply multi-digit whole numbers using the standard algorithm.,Topic 3: Fluently Multiply Multi Digit Whole Numbers,Math
49,2021,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA803875524,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.2,SR,NT,5.NBT.A.2,Identify which power of ten is equivalent to a given whole number.,1,54,58,-4,Number and Operations in Base Ten,Understand the place value system.,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Topic 6: Use Models and Strategies to Divide Decimals,Math
50,2021,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA715102137,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.4,SA,NT,5.NBT.A.4,Round a decimal to the nearest tenth.,1,51,40,11,Number and Operations in Base Ten,Understand the place value system.,Use place value understanding to round decimals to any place.,Topic 1: Understanding Place Value,Math
