,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
31,2021,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805937738,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the importance of given paragraphs to the overall passage.,1,100,83,17,Craft and Structure,Literature
32,2021,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805943442,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.5,SR,LA,L.PK-12.5,Interpret the meaning of figurative language used in the passage.,1,91,78,13,Vocabulary Acquisition and Use,Literature
33,2021,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805940359,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify a description of an individual and choose evidence from the passage that best supports the description.,2,80,65,15,Key Ideas and Details,Literature
34,2021,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805945946,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine what is being described in a detail from the passage.,1,87,72,15,Craft and Structure,Literature
35,2021,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805950210,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference based on details from the passage.,1,84,81,3,Key Ideas and Details,Literature
36,2021,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805953548,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the importance of given paragraphs in the passage.,1,78,78,0,Craft and Structure,Literature
37,2021,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL806031849,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.8,SR,RE,R.PK-12.8,Identify why the author includes a given section in the passage.,1,73,60,13,Integration of Knowledge and Ideas,Informational
38,2021,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805957484,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference based on information from the passage.,1,76,60,16,Key Ideas and Details,Informational
39,2021,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL806032735,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Identify the word from the passage that has a prefix with a given meaning.,1,73,63,10,Vocabulary Acquisition and Use,Informational
40,2021,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805960800,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify the main idea of the passage and choose evidence from the passage that best supports the main idea.,2,79,67,12,Key Ideas and Details,Informational
41,2021,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL805955585,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify character traits of individuals in the passage.,2,67,56,11,Key Ideas and Details,Literature
42,2021,12,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL806033603,ES,-,-,Write an essay that explains the relationship between two individuals in the passage; use information from the passage as evidence.,7,43,37,6,WR Combined (Conv/Idea Dev),Literature
43,2021,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL284550_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the purpose of a paragraph in the fable.,1,66,67,-1,Craft and Structure,Literature
44,2021,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL284551_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Identify the significance of an event from the fable.,1,92,77,15,Key Ideas and Details,Literature
45,2021,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL284554_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify a description of characters based on information in the fable.,1,74,67,7,Key Ideas and Details,Literature
46,2021,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL284561_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,84,81,3,Vocabulary Acquisition and Use,Literature
47,2021,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL284557_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Determine what is suggested about a character using details from the fable.,1,95,86,9,Key Ideas and Details,Literature
48,2021,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL284552_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine the importance of the setting of the fable.,1,68,70,-2,Key Ideas and Details,Literature
49,2021,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL284560_ePAT,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine the importance of the title of the fable.,1,66,51,15,Key Ideas and Details,Literature
50,2021,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736474369,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.8,SR,RE,R.PK-12.8,Determine the purpose of a paragraph in the passage.,1,71,65,6,Integration of Knowledge and Ideas,Informational
51,2021,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736467737,SR,RE,R.PK-12.4,Determine the meaning of a word in context.,1,82,76,6,Craft and Structure,Informational
52,2021,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736473790,SR,RE,R.PK-12.5,Determine how paragraphs are connected in the passage.,1,61,53,8,Craft and Structure,Informational
53,2021,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736473519,SR,LA,L.PK-12.5,Interpret the meaning of punctuation used in the passage.,1,45,42,3,Vocabulary Acquisition and Use,Informational
54,2021,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL827625874,SR,LA,L.PK-12.2,Determine the use of punctuation in a sentence from the passage.,1,79,66,13,Conventions,Informational
55,2021,25,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736469872,SR,RE,R.PK-12.4,Determine the meaning of a word in context.,1,87,77,10,Craft and Structure,Informational
56,2021,26,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736475762,SR,RE,R.PK-12.3,Identify how a problem in the passage was solved and choose evidence from the passage that best supports the solution.,2,62,61,1,Key Ideas and Details,Informational
57,2021,27,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736478536,SR,RE,R.PK-12.3,Place events from the passage into the correct order.,2,57,55,2,Key Ideas and Details,Informational
58,2021,28,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL827627427,SR,RE,R.PK-12.5,Identify the organizational structure of the passage.,1,55,45,10,Craft and Structure,Informational
59,2021,29,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736470482,SR,RE,R.PK-12.9,Compare how information from two passages contributes to overall understanding of a topic.,1,55,51,4,Integration of Knowledge and Ideas,Informational
60,2021,30,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736471910,SR,RE,R.PK-12.7,Use text features to identify similarities on a topic presented in two passages.,1,76,75,1,Integration of Knowledge and Ideas,Informational
61,2021,31,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL736478825,ES,-,-,Write an essay that explains how individuals addressed challenges presented in two passages; use information from both passages as evidence.,7,41,33,8,WR Combined (Conv/Idea Dev),Informational
62,2021,WR12.IDEA1,,,,ES,WR,,Essay 12 Writing ( idea development ),4,39,34,5,,Literature
63,2021,LA12.CONV1,,,,ES,LA,,Essay 12 Language ( conventions ),3,48,40,8,,Literature
64,2021,WR31.IDEA2,,,,ES,WR,,Essay 31 Writing ( idea development ),4,37,29,8,,Informational
65,2021,LA31.CONV2,,,,ES,LA,,Essay 31 Language ( conventions ),3,47,38,9,,Informational
66,2022,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834976700&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Identify what a given section of a passage shows about a character.,1,75,78,-3,Craft and Structure,Literature
67,2022,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834972269&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine which meaning of a multiple-meaning word is used in a passage.,1,72,66,6,Vocabulary Acquisition and Use,Literature
68,2022,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834979779&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.3,SR,LA,L.PK-12.3,Identify the effect of italicized words in a given section of a passage.,1,74,76,-2,Knowledge of Language,Literature
69,2022,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834977047&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Explain how a specific scene contributes to the development of a passage.,1,85,83,2,Craft and Structure,Literature
70,2022,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834977330&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Make an inference about a character based on details from a passage.,1,65,67,-2,Key Ideas and Details,Literature
71,2022,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834972500&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.4,SR,RE,R.PK-12.4,Determine the effect of figurative language in a passage.,1,90,81,9,Craft and Structure,Literature
72,2022,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834978026&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine the purpose of given paragraphs in a passage.,1,81,73,8,Craft and Structure,Literature
73,2022,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834978663&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Identify a sentence that summarizes a section of a passage.,1,74,73,1,Key Ideas and Details,Literature
74,2022,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834979059&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Determine the effect that the point of view has on a passage.,1,85,79,6,Craft and Structure,Literature
75,2022,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834952362&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine a theme of a passage and choose evidence from the passage that best supports the theme.,2,58,55,3,Key Ideas and Details,Literature
76,2022,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834950831&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.5,SR,RE,R.PK-12.5,Determine which details from a passage describe elements of the plot of the passage.,2,88,80,8,Craft and Structure,Literature
77,2022,12,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL834856783&YearCode=2022,ES,-,-,Write a narrative describing what happens next in a passage.,7,24,31,-7,WR Combined (Conv/Idea Dev),Literature
78,2022,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL302392&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Identify information explicitly stated in the text.,1,93,91,2,Key Ideas and Details,Informational
79,2022,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL302393&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.3,SR,RE,R.PK-12.3,Identify a challenge that an individual describes in a passage.,1,88,90,-2,Key Ideas and Details,Informational
80,2022,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL912584876&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.4,SR,LA,L.PK-12.4,Determine which meaning of a multiple-meaning word is used in a passage and choose evidence from the passage to support the meaning.,2,74,70,4,Vocabulary Acquisition and Use,Informational
81,2022,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL912579695&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.3,SR,LA,L.PK-12.3,Determine the purpose of parenthetical information.,1,91,78,13,Knowledge of Language,Informational
82,2022,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL912500446&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.8,SR,RE,R.PK-12.8,Identify an idea developed by a given section of a passage.,1,72,62,10,Integration of Knowledge and Ideas,Informational
83,2022,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL302401&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.6,SR,RE,R.PK-12.6,Identify how the narrator's point of view supports understanding of a passage.,1,83,79,4,Craft and Structure,Informational
84,2022,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%205&view=ALL&itemUIN=EL302402&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.2,SR,RE,R.PK-12.2,Determine which statement an individual from a passage would agree with.,1,75,72,3,Key Ideas and Details,Informational
85,2022,20,TRUE,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806709547&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.5,SR,LA,L.PK-12.5,Identify a word relationship in context.,1,94,91,3,Vocabulary Acquisition and Use,Informational
86,2022,21,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806710293&YearCode=2022,SR,RE,R.PK-12.5,Determine the purpose of paragraphs in a passage.,1,73,60,13,Craft and Structure,Informational
87,2022,22,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806709790&YearCode=2022,SR,LA,L.PK-12.5,Determine the meaning of figurative language in a passage. .,1,88,82,6,Vocabulary Acquisition and Use,Informational
88,2022,23,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL827636609&YearCode=2022,SR,RE,R.PK-12.4,Determine the meaning of a word in context.,1,80,70,10,Craft and Structure,Informational
89,2022,24,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806709302&YearCode=2022,SR,RE,R.PK-12.8,Identify information that supports a specific point in an article.,1,63,61,2,Integration of Knowledge and Ideas,Informational
90,2022,25,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806707883&YearCode=2022,SR,LA,L.PK-12.4,Determine the meaning of a word in context.,1,92,82,10,Vocabulary Acquisition and Use,Informational
91,2022,26,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806709102&YearCode=2022,SR,RE,R.PK-12.3,Identify an event that occurred in an article.,1,59,49,10,Key Ideas and Details,Informational
92,2022,27,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806706594&YearCode=2022,SR,RE,R.PK-12.8,Identify the feeling developed in a section of an article and choose evidence from the article that best supports the answer.,2,74,75,-1,Integration of Knowledge and Ideas,Informational
93,2022,28,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806708176&YearCode=2022,SR,RE,R.PK-12.2,Identify a summary of an article.,1,51,41,10,Key Ideas and Details,Informational
94,2022,29,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806712207&YearCode=2022,SR,RE,R.PK-12.9,Compare information from a passage and an article about similar topics.,1,97,89,8,Integration of Knowledge and Ideas,Informational
95,2022,30,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806756112&YearCode=2022,SR,RE,R.PK-12.6,"Identify whether ideas are presented in a passage, an article, or both. ",2,59,51,8,Craft and Structure,Informational
96,2022,31,FALSE,,http://www.doe.mass.edu/mcas/search/question.aspx?uin=EL806746086&YearCode=2022,ES,-,-,Write an essay that explains the feelings of individuals in a passage and an article. Use information from the passage and the article as evidence.,7,32,33,-1,WR Combined (Conv/Idea Dev),Informational
97,2022,WR12.IDEA1,,,,ES,WR,,Essay 12 Writing ( idea development ),4,16,23,-7,,Literature
98,2022,LA12.CONV1,,,,ES,LA,,Essay 12 Language ( conventions ),3,34,41,-7,,Literature
99,2022,WR31.IDEA2,,,,ES,WR,,Essay 31 Writing ( idea development ),4,28,28,0,,Informational
100,2022,LA31.CONV2,,,,ES,LA,,Essay 31 Language ( conventions ),3,36,39,-3,,Informational
