,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Cluster,Standard Description
10,2019,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA703148718,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.1,SR,RP,6.RP.A.1,Select ratios that correctly describe given ratio relationships in a real-world context.,1,72,74,-2,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Understand the concept of a ratio including the distinctions between part:part and part:whole and the value of a ratio; part/part and part/whole. Use ratio language to describe a ratio relationship between two quantities.
11,2019,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA293846,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.6,SR,EE,6.EE.B.6,Determine which expression can be used to represent a given situation with real-world context.,1,64,60,4,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set."
12,2019,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA311659,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.1,SA,RP,6.RP.A.1,"Determine a ratio, given a real-world context.",1,75,81,-6,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Understand the concept of a ratio including the distinctions between part:part and part:whole and the value of a ratio; part/part and part/whole. Use ratio language to describe a ratio relationship between two quantities.
13,2019,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA713935781,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.SP.B.5,CR,SP,6.SP.B.5,"Find and describe the median, mode, and mean of a data set; then given the mean, determine the value of an unknown number in another data set.",4,31,45,-14,Statistics and Probability,Summarize and describe distributions.,"Summarize numerical data sets in relation to their context, such as by:"
14,2019,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA307345,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.G.A.2,SR,GE,6.G.A.2,"Given a diagram and a verbal description, determine the volume of a rectangular prism.",1,45,44,1,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume."," Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = lwh and V = Bh to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems."
15,2019,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA713678325,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.A.3,SR,EE,6.EE.A.3,Identify equivalent expressions by using the Distributive Property.,1,17,38,-21,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"Apply the properties of operations to generate equivalent expressions. For example, apply the distributive property to the expression 3(2 + x) to produce the equivalent expression 6 + 3x; apply the distributive property to the expression 24x + 18y to produce the equivalent expression 6(4x + 3y); apply properties of operations to y + y + y to produce the equivalent expression 3y."
16,2019,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA703176270,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.A.1,SR,EE,6.EE.A.1,Determine if expressions with exponents are equivalent to a given value.,1,78,69,9,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,Write and evaluate numerical expressions involving whole-number exponents.
17,2019,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA714375741,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.C.6,SA,NS,6.NS.C.6,Match ordered pairs to points on a coordinate plane and determine which ordered pair represents the image of a point after a reflection.,2,58,56,2,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,"Understand a rational number as a point on the number line. Extend number line diagrams and
coordinate axes familiar from previous grades to represent points on the line and in the plane with
negative number coordinates. "
18,2019,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA311661,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.3,SR,RP,6.RP.A.3,Determine the volume of a solid by using rate and ratio reasoning within a real-world context.,1,57,41,16,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations."
19,2019,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA307294,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.A.1,SR,NS,6.NS.A.1,Determine which expression represents a real-world problem involving division of a fraction by a fraction.,1,45,35,10,The Number System,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem. "
20,2019,21,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.B.2,SR,NS,6.NS.B.2,Determine whether the given division equations are true or false.,1,84,72,12,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,Fluently divide multi-digit numbers using the standard algorithm.
21,2019,22,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.A.2,SA,EE,6.EE.A.2,Evaluate an expression using substitution.,1,84,72,12,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"Write, read, and evaluate expressions in which letters stand for numbers."
22,2019,23,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.3,CR,RP,6.RP.A.3,"Using ratio and proportional reasoning, solve real-world problems involving fractions, decimals, percentages, and whole numbers.",4,60,44,16,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations."
23,2019,24,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.3,SR,RP,6.RP.A.3,Determine which graphical representation does not represent a given ratio.,1,69,65,4,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations."
24,2019,25,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.SP.A.2,SR,SP,6.SP.A.2,Determine the mean and the mode of a given data set.,1,23,50,-27,Statistics and Probability,Develop understanding of statistical variability.,"Understand that a set of data collected to answer a statistical question has a distribution, which can be described by its center (median, mean, and/or mode), spread (range, interquartile range), and overall shape."
25,2019,26,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.C.6,SR,NS,6.NS.C.6,Determine the value of a given point on a number line.,1,51,50,1,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,"Understand a rational number as a point on the number line. Extend number line diagrams and
coordinate axes familiar from previous grades to represent points on the line and in the plane with
negative number coordinates. "
26,2019,27,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.5,SR,EE,6.EE.B.5,Solve a two-step equation for an unknown value.,1,87,70,17,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Understand solving an equation or inequality as a process of answering a question: Which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true. "
27,2019,28,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.SP.B.4,SR,SP,6.SP.B.4,Determine which box plot represents a given set of data and interpret a box plot to solve a real-world problem.,2,34,39,-5,Statistics and Probability,Summarize and describe distributions.,"Display numerical data in plots on a number line, including dot plots, histograms, and box plots."
28,2019,29,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.A.1,SA,NS,6.NS.A.1,Solve a word problem with real-world context using division of mixed numbers by mixed numbers.,1,43,37,6,The Number System,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem. "
29,2019,30,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.6,SR,EE,6.EE.B.6,Determine which mathematical expression can be used to represent a given situation with real-world context.,1,69,59,10,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set."
30,2019,31,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.C.7,SR,NS,6.NS.C.7,Order absolute value expressions from least to greatest value.,1,51,31,20,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Understand ordering and absolute value of rational numbers.
31,2019,32,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.5,SR,EE,6.EE.B.5,Solve a two-step equation to find the value of an unknown quantity.,1,91,83,8,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Understand solving an equation or inequality as a process of answering a question: Which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true. "
32,2019,33,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.C.8,SR,NS,6.NS.C.8,Determine which points on a coordinate plane have a given distance between them.,1,87,76,11,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.
33,2019,34,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.G.A.2,CR,GE,6.G.A.2,Solve a real-world problem involving volumes of right rectangular prisms.,4,49,44,5,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume."," Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = lwh and V = Bh to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems."
34,2019,35,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.7,SR,EE,6.EE.B.7,"Given an equation of the form px = q, select the equation that is equivalent to the given equation.",1,91,84,7,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q, and x are all nonnegative rational numbers."
35,2019,36,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.2,SR,RP,6.RP.A.2,Determine the unit rate given a real-world context.,1,92,86,6,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,"Understand the concept of a unit rate a/b associated with a ratio a:b with b not 0, and use rate language in the context of a ratio relationship, including the use of units."
36,2019,37,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.B.3,SR,NS,6.NS.B.3,Determine the product of multi-digit decimals to solve a real-world problem.,1,79,65,14,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation."
37,2019,38,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.SP.A.3,SR,SP,6.SP.A.3,Determine the measures of center associated with a given set of data.,1,17,24,-7,Statistics and Probability,Develop understanding of statistical variability.,"Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number."
38,2019,39,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.A.4,SR,EE,6.EE.A.4,Determine which expressions are equivalent to a given expression.,1,22,37,-15,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them). For example, the expressions y + y + y and 3y are equivalent because they name the same number regardless of which number y stands for."
39,2019,40,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.C.9,SR,EE,6.EE.C.9,"Given the value of one variable, determine the value of another variable by analyzing the relationship of data shown on a coordinate plane.",1,75,61,14,Expressions and Equations,Represent and analyze quantitative relationships between dependent and independent variables.,"Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation. For example, in a problem involving motion at constant speed, list and graph ordered pairs of distances and times, and write the equation d = 65t to represent the relationship between distance and time."
40,2021,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA282262,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.A.2,SR,EE,6.EE.A.2,Determine the value of an expression given the value of a variable.,1,52,56,-4,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"Write, read, and evaluate expressions in which letters stand for numbers."
41,2021,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA736364876,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.C.7,SR,NS,6.NS.C.7,Interpret inequalities using absolute values of integers.,1,34,36,-2,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,Understand ordering and absolute value of rational numbers.
42,2021,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA735778671,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.B.2,SA,NS,6.NS.B.2,Find the quotient of two multi-digit numbers.,1,52,54,-2,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,Fluently divide multi-digit numbers using the standard algorithm.
43,2021,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA800171425,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.B.4,SR,NS,6.NS.B.4,Find the greatest common factor of two numbers to solve a real-world problem.,1,40,40,0,The Number System,Compute fluently with multi-digit numbers and find common factors and multiples.,"Use prime factorization to find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two relatively prime numbers. For example, express 36 + 8 as 4(9 + 2)."
44,2021,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA301222,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.3,SR,RP,6.RP.A.3,Solve a ratio problem based on a given real-world context.,1,42,41,1,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,"Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations."
45,2021,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA713831396,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.G.A.3,CR,GE,6.G.A.3,"Solve problems on a coordinate plane by plotting points, finding the distance between points, and finding the coordinates of points given the distance between them.",4,41,36,5,Geometry,"Solve real-world and mathematical problems involving area, surface area, and volume.",Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.
46,2021,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA800173241,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.C.6,SA,NS,6.NS.C.6,Graph a negative decimal on a number line.,1,52,50,2,The Number System,Apply and extend previous understandings of numbers to the system of rational numbers.,"Understand a rational number as a point on the number line. Extend number line diagrams and
coordinate axes familiar from previous grades to represent points on the line and in the plane with
negative number coordinates. "
47,2021,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA805283567,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.SP.B.4,SA,SP,6.SP.B.4,Create a histogram to represent a given set of data.,1,46,35,11,Statistics and Probability,Summarize and describe distributions.,"Display numerical data in plots on a number line, including dot plots, histograms, and box plots."
48,2021,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA736069855,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.5,SR,EE,6.EE.B.5,Determine the value of the variable in an inequality.,1,60,53,7,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Understand solving an equation or inequality as a process of answering a question: Which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true. "
49,2021,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA805179243,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.SP.A.1,SR,SP,6.SP.A.1,Identify multiple statistical questions.,1,40,30,10,Statistics and Probability,Develop understanding of statistical variability.,"Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers. For example, “How old am I?” is not a statistical question, but “How old are the students in my school?” is a statistical question because one anticipates variability in students’ ages."
50,2021,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA307272,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.2,SR,RP,6.RP.A.2,Solve a unit-rate problem based on a given real-world context.,1,88,78,10,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,"Understand the concept of a unit rate a/b associated with a ratio a:b with b not 0, and use rate language in the context of a ratio relationship, including the use of units."
51,2021,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA800160765,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.A.4,SR,EE,6.EE.A.4,Identify expressions that are equivalent to a given variable expression.,1,15,20,-5,Expressions and Equations,Apply and extend previous understandings of arithmetic to algebraic expressions.,"Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them). For example, the expressions y + y + y and 3y are equivalent because they name the same number regardless of which number y stands for."
52,2021,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA736370121,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.NS.A.1,SA,NS,6.NS.A.1,Calculate the quotient of two fractions.,1,40,42,-2,The Number System,Apply and extend previous understandings of multiplication and division to divide fractions by fractions.,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem. "
53,2021,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA703249688,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.RP.A.1,CR,RP,6.RP.A.1,Solve a real-world problem by interpreting and finding ratios based on a given ratio relationship.,4,46,39,7,Ratios and Proportional Relationships,Understand ratio and rate concepts and use ratio reasoning to solve problems.,Understand the concept of a ratio including the distinctions between part:part and part:whole and the value of a ratio; part/part and part/whole. Use ratio language to describe a ratio relationship between two quantities.
54,2021,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA800180478,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.8,SA,EE,6.EE.B.8,Graph on a number line an inequality that represents a constraint in a given real-world context.,1,63,46,17,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.
55,2021,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA736071864,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.7,SR,EE,6.EE.B.7,Determine which equation represents a given real-world context.,1,63,67,-4,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q, and x are all nonnegative rational numbers."
56,2021,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%206&view=ALL&itemUIN=MA800440516,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=6.EE.B.6,SR,EE,6.EE.B.6,Determine which expression can be used to represent a real-world context and use it to complete sentences about the context.,1,85,72,13,Expressions and Equations,Reason about and solve one-variable equations and inequalities.,"Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set."
